accountNumber,merchantId,mcc,merchantCountry,posEntryMode,transactionAmount,availableCash,fraud,DayOfWeek,HourOfDay
310,13245,5541,36,5,10.95,1500,1,3,3
731,12311,5968,840,81,18.06,1500,1,5,13
731,22789,4814,826,1,11.0,1500,1,5,13
731,22789,4814,826,1,9.0,1500,1,5,13
731,16309,4816,840,81,0.0,1500,1,5,13
731,12311,5968,840,81,18.05,1500,1,5,13
731,7968,5655,840,1,0.74,1500,1,5,13
731,27596,5941,840,1,1.36,1500,1,5,13
731,7968,5655,840,1,5.9,1500,1,5,14
48,30042,3000,840,1,678.81,10500,1,6,5
531,29184,5945,826,81,34.95,9500,1,6,6
531,29184,5945,826,81,34.98,9500,1,6,9
702,28506,7011,40,81,57.75,6500,1,4,16
702,10977,4722,756,81,673.46,6500,1,2,5
531,12025,4814,826,1,51.0,9500,1,2,8
400,9398,7372,826,81,0.04,7500,1,1,15
552,22728,4816,840,81,0.05,2500,1,5,5
552,22728,4816,840,81,0.01,2500,1,5,6
258,28800,5997,840,1,2.18,8500,1,4,3
158,24317,6012,826,81,0.95,1500,1,0,22
466,30980,4814,826,81,1.01,500,1,3,11
466,30980,4814,826,81,0.99,500,1,3,11
512,324,5967,826,81,0.0,500,1,1,13
512,20613,5967,659,81,1.34,500,1,1,13
512,12358,5967,659,81,1.19,500,1,1,13
512,324,5967,826,81,26.28,500,1,5,15
176,4542,7277,826,1,79.0,11500,1,5,19
176,1258,5941,840,1,1.08,10500,1,5,20
176,31902,6300,826,1,43.63,11500,1,5,19
176,19229,4814,826,1,4.0,11500,1,5,19
176,4542,7277,826,1,21.0,11500,1,5,19
512,324,5967,826,81,26.19,500,1,6,12
421,4764,4814,826,1,3.0,500,1,6,10
176,29959,8220,826,81,22.95,11500,1,2,4
176,25826,5999,840,1,6.33,11500,1,2,4
231,10383,7311,840,81,4.62,7500,1,2,9
136,8423,7011,250,1,68.44,2500,1,3,22
490,18358,7375,196,81,8.31,1500,1,0,2
293,12395,7999,840,90,57.77,3500,1,2,18
9,29959,8220,826,81,15.55,8500,1,3,18
9,3136,5999,442,81,0.64,8500,1,1,12
198,30050,6011,826,5,99.0,1500,1,3,5
354,25713,6011,826,5,99.0,500,1,3,14
354,25713,6011,826,5,49.0,500,1,3,14
354,25713,6011,826,5,21.0,500,1,3,14
170,10222,5735,442,81,7.34,1500,1,5,2
170,10222,5735,442,81,7.15,1500,1,5,5
170,10222,5735,442,81,8.59,1500,1,5,6
170,10222,5735,442,81,6.99,1500,1,5,20
170,10222,5735,442,81,7.84,1500,1,6,3
124,23570,5967,826,81,24.04,2500,1,6,23
5,18558,7299,826,1,26.0,500,1,4,11
5,18558,7299,826,1,206.0,500,1,4,11
5,18558,7299,826,1,103.43,500,1,4,11
5,18558,7299,826,1,49.0,500,1,4,10
5,18558,7299,826,1,26.0,500,1,4,10
455,3324,5941,826,81,99.0,500,1,4,11
455,11255,5812,826,81,35.02,500,1,4,18
455,7368,5814,826,1,32.04,500,1,4,18
170,10222,5735,442,81,8.88,1500,1,2,22
422,12456,6011,826,5,131.0,500,1,3,16
422,12456,6011,826,5,99.0,500,1,3,16
422,12456,6011,826,5,49.0,500,1,3,16
422,12456,6011,826,5,21.0,500,1,3,16
86,22789,4814,826,1,11.0,500,1,5,18
86,1817,5651,840,1,3.39,500,1,5,18
170,852,5968,826,1,19.01,1500,1,5,19
170,10222,5735,442,81,7.59,1500,1,6,15
528,26398,5967,826,81,39.95,1500,1,0,6
176,15049,5719,826,81,1171.09,11500,1,3,7
170,10222,5735,442,81,8.18,1500,1,3,10
328,4886,8999,442,81,0.0,1500,1,1,5
328,24525,5735,826,81,10.01,1500,1,1,5
176,12897,5541,826,1,11.0,11500,1,1,6
176,4868,5651,840,1,2.26,11500,1,1,6
170,10222,5735,442,81,7.94,1500,1,5,23
528,26398,5967,826,81,50.05,1500,1,6,23
364,24048,5967,826,1,39.88,500,1,2,12
170,10222,5735,442,81,8.09,1500,1,3,10
528,26398,5967,826,81,29.92,1500,1,3,14
636,16518,5964,826,1,2.0,8500,1,1,12
636,3136,5999,442,81,0.63,7500,1,1,12
636,16454,8999,442,81,419.92,8500,1,1,12
500,19056,5967,826,81,2.0,500,1,5,0
500,29240,5967,826,81,2.0,500,1,5,1
500,22782,5967,659,81,1.39,500,1,5,1
368,18363,6300,380,1,850.83,7500,1,5,6
344,3025,5967,196,81,18.38,500,1,4,10
344,3025,5967,196,81,18.34,500,1,4,10
344,3025,5967,196,81,18.36,500,1,4,11
528,26398,5967,826,81,29.9,1500,1,0,2
714,32045,5499,840,81,214.13,2500,1,2,7
170,10222,5735,442,81,7.74,1500,1,2,23
170,10222,5735,442,81,7.02,1500,1,3,4
170,10222,5735,442,81,7.06,1500,1,1,1
170,10222,5735,442,81,7.87,1500,1,1,4
170,10222,5735,442,81,7.78,1500,1,1,4
170,10222,5735,442,81,8.0,1500,1,1,4
170,10222,5735,442,81,7.87,1500,1,1,16
170,10222,5735,442,81,7.89,1500,1,5,2
170,10222,5735,442,81,8.35,1500,1,5,3
170,10222,5735,442,81,7.02,1500,1,5,3
170,10222,5735,442,81,8.23,1500,1,5,6
170,10222,5735,442,81,8.37,1500,1,5,19
170,10222,5735,442,81,7.3,1500,1,5,19
170,10222,5735,442,81,7.78,1500,1,6,1
170,10222,5735,442,81,7.97,1500,1,6,1
364,14911,5967,826,1,29.96,500,1,6,2
345,24579,5734,826,1,25.53,7500,1,6,13
170,10222,5735,442,81,7.14,1500,1,4,2
170,10222,5735,442,81,7.02,1500,1,4,3
170,10222,5735,442,81,8.28,1500,1,4,21
170,10222,5735,442,81,7.94,1500,1,4,20
507,9195,5967,826,81,2.0,2500,1,3,22
507,9195,5967,826,1,32.7,2500,1,3,22
170,10222,5735,442,81,9.17,1500,1,1,4
509,16315,7995,292,81,441.0,8500,1,5,19
509,16315,7995,292,81,401.0,7500,1,5,20
509,16315,7995,292,81,399.0,7500,1,5,19
